-1.795303589,-2.181181152,0.775019912,-0.005757157307,0.1100445256,-0.6009557333,0.7916497105,-0.2667647124,0.1384036141,0.03927425506,0.5148188809,-0.389301453,0.01745758822,-0.9173718257,-0.1511484864,-0.2232505526,0.7141933295,0.1524536413,-0.004808177543,-0.1026900452,0.01824710156,0.168062353,0.2081742376,0.4200336941,-0.2456042753,1.016165052,-0.08292258549,-0.06881880686,-0.1440551407,0.1020906847,-0.2875297501,0.2344763221,0.9357460169,-0.1714238235,0.1169311486,-0.2562890932
-1.795805908,-2.183368652,0.7745712985,-0.005280842002,0.1103361085,-0.6003687897,0.7920576824,-0.2658407424,0.1397871586,0.03871455623,0.5166760479,-0.3944930048,0.01573413493,-0.9245124926,-0.1525075721,-0.2196424369,0.7286074829,0.1503281729,-0.001036370615,-0.1062524827,0.01778082134,0.1665221682,0.2209590158,0.4181489176,-0.2443798981,1.014585491,-0.08276404499,-0.06677141039,-0.1557446011,0.1093906781,-0.2829437356,0.2288611316,0.9200306883,-0.1870856666,0.117269552,-0.2558619004
-1.796215454,-2.185639648,0.7740759492,-0.004965327727,0.1104155566,-0.5997401532,0.7925247624,-0.2643568957,0.1408100632,0.03763211463,0.5190213433,-0.3998045477,0.01433855763,-0.9325715326,-0.1544882743,-0.2157756692,0.7466091895,0.1497275643,0.003845035266,-0.110111079,0.01764575573,0.1654005934,0.2327251068,0.4156515708,-0.2465294552,1.013453096,-0.08425723316,-0.06300018778,-0.1653083527,0.1169972512,-0.2784164664,0.2251386865,0.9034154002,-0.1987323226,0.1187460592,-0.2580426366
-1.796709106,-2.187962646,0.7735216678,-0.00467820692,0.1109214335,-0.5988486327,0.7931297908,-0.2639155982,0.1424161304,0.0363204557,0.5218826174,-0.4056249051,0.01218751669,-0.9420429431,-0.1564976151,-0.2121480484,0.7671298628,0.1494876794,0.0115783341,-0.1142539549,0.01866211538,0.1637106607,0.244398711,0.4130695141,-0.2474323305,1.013288883,-0.09162002119,-0.06330889889,-0.1816125406,0.1248092004,-0.2741796521,0.2195725122,0.8865591816,-0.2086646764,0.1208986683,-0.2578514627
-1.797158447,-2.190295166,0.7729730847,-0.003776596313,0.1114777973,-0.5979498498,0.793734474,-0.2646352497,0.1425022352,0.03339351217,0.5247979804,-0.4106628934,0.01241949843,-0.9533441875,-0.1591416481,-0.2061292109,0.78909519,0.1484385114,0.01993247389,-0.118036677,0.01880713248,0.1609591513,0.2551392867,0.4108968602,-0.2494542767,1.012894641,-0.09085700186,-0.06058392341,-0.1953610193,0.1343139926,-0.2700691819,0.2127941535,0.8675819448,-0.2191706211,0.1243701043,-0.25731454
-1.797611938,-2.192768311,0.7723844138,-0.003276942528,0.111970879,-0.5969116087,0.7944484346,-0.2646373151,0.1432449323,0.0306282586,0.5280962168,-0.416733141,0.01136289234,-0.9639623704,-0.1615794756,-0.2005933102,0.8120057493,0.1469977115,0.02326814366,-0.1222329493,0.0199771162,0.1595598864,0.26544614,0.408140782,-0.2534673434,1.011853736,-0.09206580783,-0.05976883881,-0.2057656052,0.1420126688,-0.2661191933,0.2062633489,0.8512236792,-0.2279749938,0.1269650246,-0.2570028496
-1.798010498,-2.19523999,0.7717529559,-0.002464130258,0.1127253161,-0.5959384966,0.7950749898,-0.2655716605,0.1434249184,0.02745986637,0.5315641322,-0.4229615598,0.01082879487,-0.974792481,-0.1632505691,-0.1938249752,0.8338428683,0.1445506076,0.02756328451,-0.126729851,0.02087423534,0.1575129846,0.2748355578,0.4051731895,-0.2510753321,1.012541469,-0.08617214451,-0.05777630464,-0.2173957167,0.1492788115,-0.2620066584,0.200386596,0.8354307357,-0.2338596202,0.1302747468,-0.2589542794
-1.798390137,-2.197836914,0.7711147501,-0.001918144911,0.1133196301,-0.5949333426,0.7957444942,-0.2657888748,0.1440159733,0.02437124594,0.5353001692,-0.4301410497,0.009903136327,-0.9841772483,-0.1635905166,-0.1851438986,0.8551191202,0.1410297779,0.02989999593,-0.1306756586,0.02204976014,0.1567865066,0.2829178977,0.4023015856,-0.2506281728,1.013040319,-0.08606698787,-0.05674369287,-0.2273173642,0.1553894648,-0.2579677463,0.1923683143,0.8201344799,-0.2385218625,0.132624534,-0.2578738868
-1.798700439,-2.200468506,0.7704434043,-0.001381417268,0.1141681445,-0.5939648139,0.7963476165,-0.2663089188,0.1449989713,0.02129903314,0.5393686766,-0.4372637624,0.009069156042,-0.9922080071,-0.1626956698,-0.17608078,0.8729623629,0.1361621062,0.02833532439,-0.1349433247,0.02313141249,0.1564122805,0.2910225979,0.3988961969,-0.2524589711,1.013447613,-0.08944671023,-0.05689547538,-0.2340077212,0.1610768539,-0.2535464542,0.1867228253,0.8062707198,-0.2414828561,0.1354871441,-0.2587727708
-1.798964478,-2.203370605,0.7697353197,-0.0013021338,0.1143013704,-0.593256006,0.7968568331,-0.264703353,0.1465030001,0.01935348509,0.5439297084,-0.4446289585,0.009048132977,-0.9974351206,-0.1614211084,-0.1673265915,0.8903168375,0.1286634672,0.0279429163,-0.1381757272,0.02399431029,0.1579109164,0.2978339291,0.3952232005,-0.2507682093,1.014551698,-0.08948391604,-0.05609201692,-0.2428873165,0.165241344,-0.2498132656,0.1817486389,0.7949819007,-0.2417060302,0.1372927005,-0.2588410161
-1.799294067,-2.206336914,0.7690056417,-0.00128540629,0.1149250711,-0.5925118899,0.7973206607,-0.2636053943,0.1490824681,0.01758577856,0.5479104349,-0.4511082296,0.007614573212,-1.001312417,-0.1601181366,-0.1618037154,0.9044453655,0.1202660464,0.02896256163,-0.1421583808,0.02654113021,0.1595169224,0.3037972639,0.3900277602,-0.2499249625,1.016146699,-0.09071461427,-0.05630187446,-0.2494635491,0.1689496217,-0.246732478,0.1765798389,0.7825440064,-0.2416464323,0.1386889894,-0.2576966912
-1.799570557,-2.209425293,0.7682100338,-0.001382231153,0.1153090317,-0.5919306972,0.7976966631,-0.2618626421,0.1513795095,0.01572039164,0.5523728851,-0.4583795632,0.006537398648,-1.003098898,-0.159763492,-0.1595169229,0.9166154566,0.10860158,0.03291610081,-0.1451174897,0.02783012725,0.1613142872,0.3093551765,0.3855922875,-0.2509310659,1.017676583,-0.09434712961,-0.05649408476,-0.2530339375,0.1724689077,-0.2423291507,0.1716115258,0.7729108755,-0.2411429994,0.1365017653,-0.2611692361
-1.79973877,-2.212651367,0.767341698,-0.001489326375,0.1156628965,-0.5916759441,0.7978342268,-0.2590992749,0.1539272849,0.01507328749,0.5560255503,-0.4660581913,0.00381440063,-1.003275985,-0.1602453119,-0.1609164381,0.926276258,0.09516875396,0.03666571713,-0.1479667508,0.03113898659,0.1625133003,0.3134199569,0.3780363367,-0.2488462155,1.021579349,-0.09649793476,-0.05650017634,-0.2582092847,0.1769167533,-0.2417404064,0.1682389534,0.7624495122,-0.2378058059,0.1399051041,-0.2586583324
-1.799994263,-2.215950684,0.7665057023,-0.001674118215,0.1161339877,-0.5913158046,0.7980324013,-0.256701851,0.1568217776,0.0137019856,0.5600359763,-0.4735184859,0.002650673686,-1.001598,-0.1609060633,-0.1646276908,0.9320682567,0.08096695268,0.03692246358,-0.1502408157,0.03256120841,0.1638989956,0.3158888926,0.3727071968,-0.2452670823,1.026792184,-0.09348737427,-0.05794766592,-0.2608061386,0.1806948684,-0.2383649756,0.1642163081,0.7528278196,-0.2356327669,0.1410777049,-0.2582382423
-1.80007959,-2.219343018,0.7656036767,-0.001549657296,0.1165970697,-0.5911958135,0.7980540283,-0.2541181165,0.1589724321,0.01291028917,0.5636709323,-0.4811666507,0.001621132435,-0.9990249814,-0.1612739381,-0.167946146,0.9348110242,0.06401682955,0.03484249202,-0.1524906583,0.03447881169,0.1645105947,0.3175037867,0.3662197652,-0.2389948127,1.032745091,-0.08581094474,-0.05916511627,-0.2644715003,0.1844666224,-0.2363621761,0.1628273148,0.7445052072,-0.233428655,0.1421461022,-0.2597159858
-1.800236816,-2.22281958,0.7646621132,-0.001474012001,0.1169908985,-0.5911030021,0.7980652842,-0.2511316289,0.1607971501,0.01130296583,0.5671842389,-0.4889407552,0.00152824884,-0.9952394921,-0.1614952001,-0.1727051228,0.9345194992,0.04725218167,0.02869585176,-0.15441244,0.03562675059,0.164725677,0.3176476003,0.3604661568,-0.2339067691,1.040649546,-0.0817101032,-0.06293271624,-0.2652264467,0.188757128,-0.2344243976,0.1621940067,0.7358262849,-0.229785515,0.1444725317,-0.2596363395
-1.800390747,-2.226269775,0.7636479717,-0.001194496764,0.117364914,-0.5912960808,0.7978677804,-0.248067873,0.1622099489,0.01014383289,0.5705407749,-0.4965891172,0.001653628895,-0.9914471383,-0.1615982494,-0.1782130183,0.9324327007,0.02817620621,0.01827437698,-0.1556128456,0.03705634398,0.1654087667,0.31537222,0.3539673857,-0.2296316807,1.049443429,-0.0776180968,-0.06651819621,-0.2647202878,0.1917340111,-0.2327486698,0.1619482487,0.7291792698,-0.2259090309,0.1447897322,-0.2618958625
-1.800421753,-2.229791748,0.7625588531,-0.0004654333795,0.1174937423,-0.5917976553,0.7974776104,-0.2446671057,0.1624842558,0.0100981051,0.5734451362,-0.504062616,0.00189428785,-0.9873442331,-0.1621231913,-0.1838744073,0.9278257011,0.007840768106,0.00642409615,-0.1560517949,0.03775336148,0.167379445,0.3100182127,0.3477247042,-0.2236586888,1.059309349,-0.0686318728,-0.07236854355,-0.2609636341,0.1922935365,-0.2322491545,0.1616468999,0.72440152,-0.2221430341,0.1434457934,-0.2624636681
-1.800420776,-2.233226563,0.7614017551,0.0004849224695,0.1179521246,-0.5925493305,0.7968515245,-0.2422679027,0.162671888,0.01012670452,0.5768177046,-0.5121445078,0.002854791512,-0.9859179185,-0.1621253784,-0.1886107793,0.9233583797,-0.007419468311,-0.01006439409,-0.1559006436,0.03916527729,0.1681395892,0.3030004237,0.3406737936,-0.2205624753,1.070135829,-0.06246970166,-0.07729999404,-0.2558822527,0.1922949433,-0.2327536903,0.1617819667,0.7205728711,-0.2193347346,0.1467083368,-0.2610895254
-1.800440552,-2.236387939,0.7602266626,0.00164409777,0.1190586488,-0.593740953,0.7957977229,-0.2414368449,0.1640008526,0.01175941067,0.5793567586,-0.516854241,0.007969169179,-0.9890047978,-0.1600779745,-0.1914734952,0.9202266989,-0.0113220162,-0.0273316661,-0.1545247859,0.04069799425,0.1693493115,0.2937675948,0.3343244668,-0.2178282146,1.079789179,-0.06107121106,-0.08125948318,-0.2463736174,0.1881021059,-0.2328227956,0.1625327326,0.7217393847,-0.2144344609,0.1455056236,-0.2623218263
-1.800352783,-2.239462402,0.7589717944,0.003363990805,0.1198832723,-0.5950799375,0.7946675736,-0.2416850297,0.1633062069,0.01305537034,0.5840152765,-0.52340511,0.0105951375,-0.9934507506,-0.1588460331,-0.1933768848,0.9197562707,-0.01793059175,-0.04473885076,-0.1526853224,0.04142908847,0.1713594318,0.28193664,0.3281888921,-0.214446969,1.089934372,-0.05846385523,-0.08542693176,-0.2380406741,0.1826882213,-0.2334621099,0.1636861148,0.724451752,-0.2111090078,0.1439799049,-0.2635395566
-1.800277954,-2.242418945,0.757582767,0.004986621305,0.1208924544,-0.5966808635,0.7933045412,-0.2425280063,0.163059568,0.0145965933,0.5895928177,-0.530186828,0.01134193468,-1.001529405,-0.1570883456,-0.1936247073,0.9244269635,-0.02113990798,-0.06287858679,-0.1489292933,0.04303305479,0.1732515411,0.2673111522,0.3228975235,-0.2155245883,1.100614055,-0.05920216295,-0.08996251144,-0.2273699236,0.174759163,-0.2334440852,0.1681624583,0.7333395575,-0.2018624202,0.1393987461,-0.2674758132
